College Code,College Name,Seat Category,AD-Artificial Intelligence & Data Science,AE-Aeronautical Engineering,AG-Agriculture Engineering,AI-Artificial Intelligence & Machine Learning,,AL-Agricultural Engineering,,AR-Automation & Robotics Engineering,AS-Aerospace Engineering,AU-Automobile Engineering,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,30316,,18743,,,,,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,,69087,,39916,,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,62967,,,,,,,33264,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",KKR,,98722,,,,,,,69992,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,,,,69328,,,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",KKR,,,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,,,,29154,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",KKR,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,97806,99127,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",KKR,,,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,58659,,38367,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,,,,62445,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,51030,,,,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",KKR,,,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",KKR,,,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,31357,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,,,,78802,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,84594,,,,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",KKR,,,,,,,,,,,,
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,100356,,,,,,,,
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",KKR,,,,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,,,,13185,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,,,,37394,,,,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,,,,,,,,21723,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",KKR,,,,,,,,48753,,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,,,,70485,,,,,,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",KKR,,,,85669,,,,,,,,
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengaluru",GM,,,,22221,,,,,,,,
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengaluru",KKR,,,,69480,,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,,,,4599,,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,,,,12861,,,,,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,,,,42543,,,,,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",KKR,,,,,,,,,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,,,,64634,,,,,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",KKR,,,,87258,,,,,,,,
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bidar",GM,67253,,,,,,,,,,,
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bidar",KKR,,,,,,,,,,,,
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,,,,48966,,,,,,,,
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",KKR,,,,69367,,,,,,,,
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",GM,,,,,,,,,,,,
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",KKR,,,,,,,,,,,,
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,1539,,,1981,,,,,4450,,,
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,8003,,,7942,,,,,36946,,
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,,,,5697,,,,,,,,
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",KKR,,,,22703,,,,,,,,
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,,,,49216,,,,,,,,
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",KKR,,,,,,,,,,,,
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,13021,,,12597,,,,,,,,
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,39918,,,37232,,,,,,,,
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,,,,21151,,,,,,,,
