College Code,College Name,Seat Category,AD-Artificial Intelligence & Data Science,"AE-
Aeronautical Engineering",AG-Agricultural Engineering,AI-Artificial Intelligence & Machine Learning,AR-Automation & Robotics Engineering,AS-Aerospace Engineering,AU-Automobile Engineering,"AVE-
Automotive Engineering",BD-Bachelor of Design,BDC-Bachelor of Design (Communicatio n & Design)
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,40891,,31672,,,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,,80648,,77402,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,94757,,70872,,44372,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",KKR,,,,92638,,80099,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,,,,83793,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",KKR,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,110202,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",KKR,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,102792,109512,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",KKR,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,89408,,68207,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,,101846,,88135,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,76135,,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",KKR,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",KKR,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,57754,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,,,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,104749,,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",KKR,,,,,,,,,,
E014,"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,108895,,,,,,
E014,"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi",KKR,,,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,,,,19079,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,,,,48608,,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,,,,,35707,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",KKR,,,,,79665,,,,,
