College Code,College Name,Seat Category,AD-Artificial Intelligence & Data Science,"AE-Aeronautical Engineering","AG-Agricultural Engineering",AI-Artificial Intelligence & Machine Learning,,"AL-Agriculture Engineering Course","AR-Automation & Robotics Engineering","AS-Aerospace Engineering"
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,32990,,28132,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,,97600,,59237,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,77093,,53225,,,,48348
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",KKR,,,,109748,,,,77596
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,,,,84307,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",KKR,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,108689,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",KKR,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,109807,109512,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",KKR,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,65679,,61086,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,,101846,,109296,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,95863,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",KKR,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",KKR,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,49068,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,,,,106136,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,104749,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",KKR,,,,,,,,
E014,"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,108895,,,,
E014,"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi",KKR,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,,,,17237,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,,,,49553,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,,,,,,,33236,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",KKR,,,,,,,58669,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,,,,105216,,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",KKR,,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,,,,7577,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,,,,28069,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,,,,69053,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",KKR,,,,110166,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,,,,89509,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",KKR,,,,104525,,,,
