College Code,College Name,Seat Type,AD-Artificial Intelligence & Data Science,AE-Aeronautical Engineering,AG-Agriculture Engineering,AI-Artificial Intelligence & Machine Learning,,AL-Agricultural Engineering,AR-Automation & Robotics Engineering,,AS-Aerospace Engineering,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,87175,,30872,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,,,,,,,,84122,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,,,,83320,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,,,,78979,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,86167,,91258,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,92275,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,68291,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,63333,,,,,,,,,,
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,,,,20141,,,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,,,,,,,44085,,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,,,,80806,,,,,,,
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengaluru",GM,,,,62754,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,,,,7983,,,,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,,,,85968,,,,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,,,,100899,,,,,,,
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,,,,96627,,,,,,,
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",GM,,,,,,,,,,,
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,2742,,,3038,,,,,10362,,
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,,,,8959,,,,,,,
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,,,,95743,,,,,,,
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,19447,,,19848,,,,,,,
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,,,,36875,,,,,,,
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,,,,,,,,,,,
E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,,,,81421,,,,,,,
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,,,,,,,,,,,
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,,,,20126,,,,,,,
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,,24269,,4314,,,,,,,
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,79648,,,,,,,,,,
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,,90800,,26165,,,,,,,
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,98989,,,,,,,,,,
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,98557,,,,,,,,,,
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,93490,,,86818,,,,,,,
E049,"Garden City University-Old Madras Road, Bengaluru",GM,,,,,,,,,,,
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,66938,99746,,52374,,,,,,,
E051,"GM Institute of Technology-P B Road, Davangere",GM,,,,65054,,,,,,,
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,,,,,,,,,,,
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,59418,,,,,,,,,,
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology University-Manasagangothri  Mysuru",GM,,,,,,,,,,,
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,,,,65784,,,,,,,
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,,,,,,,,,,,
E061,JSS Science and Technology University-Mysuru,GM,,,,,,,,,,,
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,,,,,,,,,,,
E064,"Jain College of Engineering and Research-Udyambag, Belagavi",GM,,,,,,,,,,,
E065,"KLE Technological University Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and Technology-Udyambag  Belagavi",GM,,,,,,,,,,,
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,75244,,,,,,,,,,
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,77605,,,,,,,,,,
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",GM,,,,98020,,,,,,,
E071,"Karavali Institute of Technology-Kottara, Mangaluru",GM,,,,,,,,,,,
E072,"K L E Institute of Technology-Gokul, Hubbali",GM,,,,,,,,,,,
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,,61104,,,,,,,,,
E074,"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",GM,,,,,,,,,,,
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,,,,91193,,,,,,,
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,2712,,,2617,,,,,11947,,
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,,,,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,,,,,,,,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangaluru",GM,,,,,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,91965,,,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengaluru",GM,,,,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,,,,,,,,,,,
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,11080,47349,,10581,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",GM,,,,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,,,,,,,,,,,
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",GM,,,,54016,,,,,,,
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,,,,,,,,,3997,,
E097,"R.R. Institute of Technology-Chikkabanavara, Bengaluru",GM,,,,,,,,,,,
E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,,,,95578,,,,,,,
E101,"Rajiv Gandhi Institute of Technology-R T Nagar Post, Bengaluru",GM,,,,,,,,,,,
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,,,,,,,,,,,
E105,"Bheemanna Khandre Institute of Technology-Bhalki, Bidar",GM,,,,,,,,,,,
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,,,,38233,,,,,,,
E108,"S J C Institute of Technology-BB Road, Chikkaballapur",GM,62929,,,,,,,,93200,,
E109,"S.E.A. College of Engineering and Technology-K R Puram, Bengaluru",GM,,,,,,,,,,,
E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,93114,,,,,,,,,,
E112,"Sahyadri College of Engineering and Management-Adyar, Mangaluru",GM,,,,,,,,,,,
E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",GM,,,,,,,,,,,
E114,"Sambhram Institute of Technology-Jalahalli East, Bengaluru",GM,,,,,,,,,,,
E116,"Sapthagiri NPS University-Hesarghatta Main Road, Bengaluru",GM,,,,,,,,,,,
E117,"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",GM,,,,41912,,,,,,,
